id,assess,drive,funseek,responsiv,bis,bas,basbis1,basbis2,basbis3,basbis4,basbis5,basbis6,basbis7,basbis8,basbis9,basbis10,basbis11,basbis12,basbis13,basbis14,basbis15,basbis16,basbis17,basbis18,basbis19,basbis20,basbis21,basbis22,basbis23,basbis24
2,1,11,12,16,22,39,3,3,3,4,4,3,3,3,3,3,2,3,3,3,2,3,3,3,4,3,2,3,3,3
3,1,8,14,17,10,39,4,3,3,4,4,4,4,1,2,3,1,2,1,4,4,1,1,4,1,3,1,2,1,1
4,1,16,15,20,10,51,3,2,4,4,4,3,4,1,4,4,1,4,2,4,3,1,3,4,2,4,4,1,4,1
5,1,12,14,17,24,43,2,4,3,3,4,3,4,3,3,3,1,3,4,3,3,4,4,3,4,4,3,1,4,4
6,1,9,13,16,23,38,4,4,2,4,4,3,4,3,3,4,2,3,4,2,2,2,4,4,4,3,1,2,2,4
7,1,10,12,16,20,38,4,3,3,3,4,4,3,2,2,3,2,3,4,3,2,3,3,3,3,3,2,2,4,3
8,1,12,15,18,22,45,3,4,3,3,4,4,4,2,3,4,1,3,4,4,3,3,4,4,4,4,3,2,3,3
9,1,15,11,17,25,43,2,4,4,3,3,4,4,4,4,3,3,4,3,3,2,3,4,4,4,3,3,3,3,4
10,1,14,12,18,15,44,4,3,4,4,4,4,4,1,3,2,1,4,1,3,2,2,3,3,4,4,3,1,4,3
11,1,13,14,19,23,46,4,4,4,4,4,4,4,2,3,3,2,3,4,4,3,4,4,4,4,4,3,2,3,3
12,1,11,11,15,22,37,3,3,3,3,3,4,3,2,3,2,2,3,3,3,3,4,3,3,4,3,2,3,3,3
13,1,10,14,16,26,40,3,4,3,3,3,3,2,3,3,3,2,2,4,4,4,4,4,4,4,4,2,3,3,4
14,1,8,12,15,19,35,3,2,2,4,4,2,3,3,2,3,2,2,3,3,2,2,4,2,4,3,2,2,3,3
15,1,15,13,19,21,47,3,3,4,4,4,3,4,4,4,3,2,4,4,4,3,1,4,3,3,3,3,3,4,3
16,1,12,11,19,18,42,3,3,4,4,3,2,4,1,3,3,2,3,1,4,3,3,4,3,4,2,2,3,4,3
17,1,11,8,17,23,36,3,3,3,4,2,1,3,3,2,2,4,3,4,3,2,3,4,3,4,2,3,2,4,4
18,1,12,13,20,25,45,4,3,3,4,4,3,4,4,3,3,1,3,4,4,2,3,4,4,4,4,3,3,4,4
19,1,16,16,20,17,52,3,3,4,4,4,3,4,2,4,4,3,4,3,4,4,1,2,4,4,4,4,2,4,2
20,1,10,13,17,24,40,3,3,3,3,4,3,4,3,2,4,3,3,4,3,2,3,4,3,4,3,2,3,4,4
21,1,13,10,19,27,42,2,4,4,4,3,4,4,4,4,2,2,3,4,4,2,4,3,4,4,3,2,3,3,4
22,1,11,12,20,27,43,4,4,3,4,3,4,4,4,3,3,3,3,4,4,2,4,4,4,4,4,2,3,4,4
23,1,13,15,20,22,48,3,1,3,4,4,3,4,4,3,4,3,3,4,4,3,3,4,4,4,4,4,2,4,4
24,1,16,16,20,18,52,4,3,4,4,4,3,4,2,4,4,1,4,3,4,4,3,4,4,4,4,4,1,4,2
25,1,12,12,16,20,40,4,2,3,4,4,4,3,2,3,3,4,3,3,3,3,3,3,3,4,2,3,3,3,3
26,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,1,10,14,19,18,43,4,2,3,4,4,4,3,2,2,3,2,2,2,4,3,2,4,4,4,4,3,3,4,3
28,1,11,13,19,21,43,4,3,3,4,4,4,4,4,3,3,3,3,4,4,2,3,4,3,4,4,2,1,4,2
1,1,12,11,19,22,42,3,2,3,4,3,4,4,3,3,3,4,3,4,4,1,3,4,4,4,4,3,2,3,4
29,1,8,10,17,24,35,4,4,1,4,4,1,3,3,3,1,1,2,3,3,1,3,3,4,4,4,2,4,3,3
30,1,13,12,18,22,43,4,4,3,3,3,3,4,2,3,3,3,3,3,3,3,4,3,4,4,3,4,1,4,4
31,1,9,8,9,16,26,2,3,3,2,2,2,1,3,2,2,4,2,2,2,2,3,2,2,2,2,2,2,2,1
32,1,10,13,19,27,42,3,3,2,3,3,3,4,4,3,4,3,3,4,4,3,4,4,4,4,3,2,4,4,4
33,1,16,16,20,22,52,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4
34,1,8,10,17,11,35,4,1,3,4,3,4,4,1,2,3,2,1,2,3,1,1,3,3,2,3,2,2,3,2
35,1,11,12,15,23,38,4,2,2,3,3,2,3,3,3,2,1,3,4,3,3,4,4,3,4,4,3,2,3,4
36,1,10,8,16,23,34,3,4,1,4,2,2,3,3,2,1,2,4,4,3,2,2,3,3,4,3,3,3,3,3
37,1,13,15,18,20,46,4,2,3,4,4,3,3,2,3,4,3,4,4,4,3,3,2,3,4,4,3,1,4,4
38,1,12,13,17,21,42,3,3,4,3,3,2,4,3,3,3,3,2,3,3,3,2,3,4,4,4,3,3,3,3
39,1,15,14,18,15,47,4,2,4,4,4,3,4,2,4,3,3,3,1,3,3,2,4,3,3,4,4,2,4,3
40,1,14,16,17,22,47,4,3,4,3,4,2,4,4,3,4,1,3,3,4,4,3,4,2,4,4,4,1,4,4
41,1,13,14,18,20,45,3,3,3,4,4,2,4,2,3,3,2,4,3,3,3,2,3,3,4,4,3,3,4,3
42,1,11,12,17,24,40,3,2,3,4,4,4,3,4,3,4,1,3,4,4,2,3,3,3,4,2,2,3,3,4
43,1,10,11,17,20,38,4,3,3,4,4,3,4,3,3,2,3,3,3,3,2,1,3,2,4,3,1,3,4,3
44,1,12,10,17,25,39,4,4,4,4,4,4,4,3,3,3,1,3,3,3,2,4,3,3,4,1,2,3,3,4
45,1,12,12,20,20,44,4,3,3,4,4,3,4,3,4,2,1,4,3,4,3,2,4,4,4,3,1,2,4,3
46,1,14,11,19,17,44,4,2,4,4,4,3,4,1,4,1,1,4,3,4,2,2,3,3,4,4,2,2,4,3
47,1,11,13,20,28,44,2,4,3,4,4,1,4,4,3,4,2,2,4,4,2,4,3,4,4,3,3,4,4,4
48,1,15,12,20,18,47,3,2,4,4,4,1,4,3,4,3,4,4,4,4,2,2,4,4,3,3,3,1,4,3
49,1,10,13,17,20,40,4,2,2,4,4,1,4,3,2,2,3,4,3,4,4,3,3,3,3,3,2,3,2,3
50,1,9,9,16,24,34,3,3,2,3,2,3,3,3,2,2,4,3,4,3,2,3,3,3,4,3,2,3,4,4
51,1,11,11,19,23,41,4,4,3,4,3,4,4,2,2,3,1,4,4,4,2,3,4,3,4,3,2,3,4,3
52,1,12,13,18,19,43,4,2,3,4,4,2,4,2,3,3,2,3,3,3,2,3,3,3,3,4,3,3,4,3
53,1,12,9,16,23,37,4,4,4,4,3,3,3,3,3,2,2,4,3,4,2,2,4,2,4,2,1,4,3,3
54,1,9,11,9,19,29,2,3,3,3,3,3,2,2,2,2,3,2,3,2,3,2,3,1,4,3,2,2,1,3
55,1,8,6,17,19,31,3,2,2,4,2,3,4,3,2,1,3,2,2,2,2,3,4,3,4,1,2,2,4,3
56,1,8,9,15,25,32,4,4,3,3,4,4,3,2,2,3,3,2,4,2,1,4,4,3,4,1,1,3,4,4
57,1,13,16,20,23,49,4,3,4,4,4,3,4,3,3,4,3,4,4,4,4,3,3,4,4,4,2,3,4,3
58,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,1,12,11,19,27,42,4,4,3,4,3,3,4,3,4,3,3,2,4,3,2,4,4,4,4,3,3,4,4,4
60,1,10,13,18,21,41,3,3,2,3,4,2,4,3,3,2,3,2,3,4,4,2,3,4,4,3,3,3,3,3
61,1,16,16,20,25,52,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,4,4,4,4,2,4,4
62,1,14,14,18,13,46,2,2,4,4,4,3,4,1,3,4,1,4,3,3,3,1,2,3,1,3,3,2,4,3
63,1,15,12,14,27,41,3,4,4,4,4,4,2,3,4,2,2,4,4,3,3,4,4,2,4,3,3,4,3,4
64,1,10,13,16,21,39,4,3,3,4,4,3,2,2,2,3,2,3,3,3,3,3,3,4,4,3,2,3,3,3
65,1,12,15,19,18,46,4,3,3,4,4,3,4,2,3,4,2,4,3,4,3,2,1,3,3,4,2,2,4,3
66,1,10,12,18,24,40,3,3,2,4,4,3,3,4,3,3,1,3,4,3,2,3,4,4,4,3,2,2,4,4
67,1,12,13,17,25,42,3,4,3,3,3,4,4,3,3,3,2,3,4,3,3,4,3,3,4,4,3,2,4,4
68,1,13,15,20,24,48,4,3,3,4,4,3,4,4,4,4,2,3,4,4,3,3,4,4,4,4,3,2,4,4
69,1,10,14,16,14,40,4,1,3,4,4,3,4,2,3,4,3,3,2,3,3,1,2,2,3,3,1,3,3,2
70,1,14,12,20,18,46,4,1,4,4,4,4,4,3,4,2,3,3,3,4,3,4,2,4,3,3,3,2,4,2
71,1,14,11,17,22,42,2,2,4,3,3,4,4,4,4,3,3,3,2,4,3,3,1,3,3,2,3,4,3,4
72,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,1,10,12,20,25,42,3,3,3,4,3,3,4,4,3,3,2,2,4,4,2,3,4,4,4,4,2,3,4,4
74,1,11,10,14,19,35,3,3,3,4,3,3,2,1,4,3,3,2,3,2,2,3,1,2,3,2,2,3,4,3
75,1,14,14,16,17,44,3,2,4,4,4,4,3,1,3,4,2,4,2,3,2,4,1,4,4,4,3,2,2,2
76,1,12,11,17,23,40,3,4,4,4,3,4,4,3,3,3,2,3,3,3,2,3,2,3,4,3,2,3,3,3
77,1,14,11,19,18,44,3,3,4,4,3,3,4,3,4,3,1,4,3,4,2,2,3,3,2,3,2,2,4,3
78,1,15,15,20,21,50,4,3,4,4,4,4,4,3,4,4,2,3,3,4,3,3,4,4,3,4,4,3,4,3
79,1,13,13,20,23,46,4,2,4,4,4,4,4,3,3,2,2,4,4,4,3,4,4,4,4,4,2,2,4,4
80,1,10,11,16,20,37,4,3,3,3,3,2,3,4,3,3,1,3,3,3,2,1,4,3,4,3,1,3,4,2
81,1,11,11,16,23,38,3,4,3,3,3,4,4,3,3,3,2,3,3,3,2,2,3,3,4,3,2,3,3,4
82,1,12,10,20,26,42,4,4,3,4,4,4,4,3,3,1,1,3,4,4,2,4,4,4,4,3,3,3,4,4
83,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,1,11,12,18,26,41,4,3,2,4,3,3,4,4,3,4,4,3,4,3,2,3,4,3,4,3,3,4,4,4
85,1,14,9,17,19,40,4,4,4,4,4,3,3,2,4,1,4,3,1,3,1,2,4,3,4,3,3,3,4,3
86,1,10,9,16,22,35,4,3,3,3,3,2,3,2,3,2,2,2,3,3,2,3,3,4,4,2,2,3,3,4
87,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,1,5,11,17,14,33,3,1,2,3,3,2,3,2,1,2,1,1,3,3,3,2,4,4,2,3,1,2,4,2
89,1,14,12,20,20,46,3,2,4,4,4,3,4,3,4,2,2,3,3,4,2,2,4,4,4,4,3,2,4,4
90,1,11,12,16,21,39,3,4,3,3,3,3,4,2,3,3,1,3,2,3,3,3,3,3,4,3,2,3,3,3
91,1,11,10,15,21,36,4,3,3,3,3,3,3,3,3,2,2,3,3,3,2,3,2,3,3,3,2,3,3,3
92,1,12,13,18,21,43,3,3,3,4,4,4,4,2,3,3,2,3,4,3,3,4,4,4,3,3,3,3,3,2
93,1,7,10,16,17,33,3,3,1,4,3,2,3,2,2,2,2,2,2,2,2,2,3,3,3,3,2,2,4,3
94,1,12,13,19,23,44,3,3,3,4,4,3,4,3,3,3,1,3,4,3,3,3,3,4,4,3,3,3,4,3
95,1,10,11,19,24,40,4,4,2,3,3,4,4,3,3,2,1,3,4,4,3,3,4,4,4,3,2,3,4,3
96,1,15,14,18,17,47,1,2,4,4,4,3,4,2,4,3,2,4,3,4,3,2,3,3,4,4,3,1,3,3
97,1,13,12,9,19,34,4,3,3,3,4,3,1,3,4,3,1,3,3,2,2,3,4,2,2,3,3,3,1,2
98,1,9,11,14,19,34,3,3,2,3,2,3,3,2,2,3,2,3,3,2,3,2,3,3,4,3,2,2,3,3
99,1,10,11,15,22,36,3,3,3,3,4,2,4,2,2,2,1,3,3,2,2,3,4,3,4,3,2,3,3,4
100,1,13,13,20,24,46,3,4,3,4,4,2,4,3,3,4,1,4,4,4,2,3,3,4,4,3,3,2,4,4
101,1,11,13,17,21,41,3,3,3,4,4,3,4,3,3,3,2,3,4,3,3,3,3,3,3,3,2,3,3,2
102,1,NA,9,19,24,NA,4,4,3,4,3,4,4,3,3,2,1,3,4,4,2,3,2,3,4,2,NA,3,4,3
103,1,11,11,18,23,40,3,3,3,3,3,4,4,4,3,3,2,2,4,3,2,3,4,4,4,3,3,1,4,4
104,1,14,15,18,18,47,4,2,4,4,4,4,4,3,4,4,3,3,3,3,3,2,3,3,3,4,3,2,4,3
105,1,4,6,13,22,23,4,4,1,3,3,4,3,1,1,1,1,1,3,2,1,2,4,3,4,1,1,4,2,4
106,1,12,6,19,20,37,3,2,4,4,3,4,4,1,2,1,4,4,3,4,1,3,4,3,4,1,2,3,4,4
107,1,11,10,18,22,39,3,3,3,3,3,3,4,3,3,2,2,3,4,4,3,3,4,3,4,2,2,1,4,4
108,1,15,15,20,18,50,4,2,4,4,4,3,4,3,4,3,2,4,3,4,4,2,3,4,4,4,3,1,4,3
109,1,10,13,20,19,43,3,3,3,4,4,3,4,3,2,2,3,3,3,4,3,2,2,4,3,4,2,3,4,2
110,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,1,16,16,20,19,52,4,2,4,4,4,2,4,2,4,4,2,4,3,4,4,3,4,4,4,4,4,1,4,4
112,1,13,9,19,19,41,3,3,4,4,3,4,4,3,3,1,2,4,3,4,3,2,1,3,4,2,2,1,4,3
113,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,1,12,10,20,23,42,3,3,3,4,3,3,4,3,3,2,3,3,4,4,2,3,4,4,4,3,3,2,4,4
115,1,13,12,19,25,44,4,4,4,3,4,4,4,3,3,2,2,3,4,4,3,3,4,4,4,3,3,3,4,4
116,1,13,12,18,22,43,4,3,3,4,4,3,4,2,4,3,1,3,3,3,2,3,2,3,4,3,3,3,4,4
117,1,9,12,20,23,41,4,3,2,4,3,4,4,3,2,2,1,3,2,4,4,4,4,4,4,3,2,3,4,4
118,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,1,10,12,17,23,39,4,4,3,3,4,4,4,3,2,2,2,3,3,3,3,3,3,3,3,3,2,3,4,4
120,1,14,16,20,17,50,4,2,4,4,4,4,4,2,4,4,1,3,3,4,4,1,3,4,4,4,3,2,4,3
122,1,14,14,20,20,48,4,2,4,4,4,3,4,2,4,3,2,3,4,4,3,2,3,4,4,4,3,2,4,4
123,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,1,13,13,17,20,43,4,2,3,4,4,4,4,3,4,3,2,3,3,3,3,3,3,3,3,3,3,2,3,4
125,1,10,11,17,25,38,3,3,2,4,3,4,4,4,3,3,1,3,4,4,3,3,4,3,4,2,2,3,2,4
126,1,16,15,20,23,51,3,4,4,4,3,4,4,1,4,4,1,4,4,4,4,4,3,4,4,4,4,2,4,4
127,1,15,13,19,19,47,3,3,4,4,4,3,4,2,4,3,2,4,2,4,2,4,4,3,3,4,3,2,4,3
128,1,14,9,15,18,38,3,4,4,3,3,3,4,3,4,1,3,3,3,3,1,1,2,3,3,4,3,2,2,2
129,1,14,13,18,20,45,3,2,3,4,4,3,4,2,4,3,2,3,4,3,2,2,4,3,4,4,4,2,4,4
130,1,5,5,19,25,29,4,4,1,4,2,3,4,4,1,1,2,2,4,3,1,3,3,4,4,1,1,2,4,4
131,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,1,10,11,20,17,41,3,3,3,4,3,3,4,2,3,2,2,3,4,4,3,1,3,4,3,3,1,2,4,2
133,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
134,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
135,1,12,12,17,22,41,3,4,3,4,3,2,4,3,3,3,2,3,3,3,3,3,3,3,4,3,3,1,3,4
136,1,15,10,19,21,44,3,3,4,4,3,3,4,2,4,2,2,3,3,4,1,4,2,3,3,4,4,3,4,3
137,1,11,12,18,9,41,2,1,4,4,4,2,3,1,2,3,1,3,1,4,3,1,3,4,3,2,2,1,3,1
138,1,13,13,18,13,44,3,1,3,4,4,3,4,2,4,4,3,2,3,3,2,1,4,3,3,3,4,1,4,2
139,1,14,14,18,19,46,3,1,4,4,4,4,3,2,3,3,3,3,3,3,3,3,4,4,4,4,4,2,4,4
140,1,11,12,14,19,37,3,3,3,3,3,3,3,2,3,3,3,3,2,2,3,2,4,3,4,3,2,3,3,3
141,1,16,14,20,20,50,4,2,4,4,4,4,4,3,4,4,4,4,3,4,3,3,3,4,4,3,4,1,4,4
142,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
143,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
144,1,14,14,19,22,47,3,4,4,4,4,3,4,3,4,4,1,3,4,3,3,3,4,4,3,3,3,2,4,3
145,1,11,11,19,28,41,4,4,3,4,3,2,4,4,3,3,4,3,4,3,2,4,3,4,4,3,2,4,4,4
146,1,12,12,19,21,43,4,4,3,4,4,3,4,2,3,2,1,3,3,4,2,3,4,3,4,4,3,2,4,3
147,1,13,12,19,20,44,4,2,3,4,4,3,4,2,4,2,4,4,3,4,2,3,3,3,4,4,2,2,4,4
148,1,12,11,17,18,40,3,2,3,3,3,4,4,4,3,3,3,3,4,3,2,2,4,3,3,3,3,1,4,2
149,1,11,12,17,25,40,2,4,3,3,4,3,4,2,2,4,3,4,4,3,2,4,4,3,4,2,2,3,4,4
150,1,9,11,18,22,38,3,3,3,4,4,3,4,3,2,3,2,3,3,4,2,3,2,3,4,2,1,3,3,3
151,1,11,14,17,18,42,4,2,4,4,4,3,4,3,3,4,1,2,2,3,3,2,3,3,3,3,2,3,3,3
152,1,10,13,20,17,43,4,1,1,4,4,3,4,3,4,4,2,4,3,4,1,4,3,4,4,4,1,1,4,1
153,1,12,10,18,23,40,4,4,4,4,3,4,4,2,3,3,1,3,3,3,2,3,4,3,4,2,2,3,4,4
154,1,15,13,19,20,47,3,2,4,4,4,4,4,2,4,3,4,4,3,4,2,3,4,3,4,4,3,2,4,4
155,1,14,16,20,24,50,4,4,4,4,4,3,4,4,4,4,2,3,3,4,4,3,3,4,4,4,3,2,4,4
156,1,9,14,15,22,38,4,3,2,3,4,3,4,4,2,4,2,3,3,3,3,3,2,2,3,3,2,3,3,3
157,1,11,10,19,13,40,4,2,3,4,4,4,4,2,1,2,1,4,3,4,1,1,3,4,3,3,3,1,3,1
158,1,9,12,17,16,38,3,2,2,3,3,3,4,2,3,2,1,2,2,3,3,2,2,3,3,4,2,2,4,3
159,1,8,14,18,23,40,4,3,3,4,4,4,4,4,2,2,2,2,4,3,4,1,4,3,3,4,1,4,4,4
160,1,12,13,18,24,43,4,4,3,4,4,3,4,3,3,3,3,3,3,4,3,3,4,3,4,3,3,3,3,4
161,1,12,9,14,16,35,4,2,3,3,3,3,4,2,2,2,2,3,2,3,2,2,2,2,3,2,4,2,2,3
162,1,10,12,17,22,39,3,4,3,4,4,4,4,3,2,3,1,2,3,3,2,3,4,3,3,3,3,3,3,3
163,1,12,8,16,21,36,2,2,4,4,2,3,3,4,3,2,1,3,4,3,2,3,4,2,3,2,2,2,4,3
164,1,9,9,16,23,34,4,3,2,4,4,3,3,3,3,1,2,2,3,3,1,3,4,3,4,3,2,3,3,4
165,1,13,12,20,25,45,4,4,3,4,4,4,4,3,4,2,1,4,3,4,2,3,4,4,4,4,2,4,4,4
166,1,10,13,20,24,43,3,4,2,4,4,4,4,2,3,3,3,3,4,4,2,4,4,4,4,4,2,2,4,4
167,1,9,13,19,22,41,4,2,3,4,4,3,4,3,2,3,1,2,3,3,3,3,4,4,4,3,2,3,4,4
168,1,13,11,19,22,43,4,4,3,4,4,2,4,3,3,3,1,4,3,4,2,2,4,4,4,2,3,3,3,3
169,1,10,15,16,26,41,3,4,3,4,4,3,3,3,2,4,2,2,4,2,3,4,4,4,4,4,3,3,3,4
170,1,8,9,18,9,35,3,1,1,4,2,1,4,1,2,3,1,4,1,3,2,1,4,3,2,2,1,1,4,2
171,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
172,1,9,12,15,19,36,3,3,2,3,3,3,3,2,2,4,2,3,2,2,2,1,3,4,4,3,2,4,3,3
173,1,15,11,19,14,45,4,1,4,4,4,4,4,1,4,3,3,4,2,4,1,2,3,3,3,3,3,2,4,3
174,1,11,12,20,25,43,3,3,3,4,4,4,4,4,2,3,1,3,4,4,2,3,4,4,4,3,3,3,4,4
175,1,13,9,18,25,40,3,4,4,4,2,4,4,4,4,3,2,3,2,3,1,3,4,4,4,3,2,4,3,4
176,1,12,15,19,24,46,4,3,3,4,4,2,4,3,3,4,4,3,4,4,3,3,4,3,4,4,3,3,4,4
177,1,6,10,10,13,26,2,1,2,3,4,1,1,1,1,3,1,2,1,2,1,2,4,2,3,2,1,2,2,3
178,1,12,10,15,25,37,3,3,4,3,3,3,4,4,3,2,3,3,4,3,2,3,4,3,4,3,2,3,2,4
179,1,12,12,19,23,43,3,3,4,4,4,4,4,3,4,3,3,2,4,4,2,3,4,4,4,3,2,2,3,4
180,1,14,11,17,11,42,4,1,4,4,4,2,4,1,4,3,3,3,2,3,1,1,4,3,2,3,3,2,3,2
181,1,11,10,20,27,41,3,4,3,4,3,4,4,4,3,3,1,3,4,4,1,4,4,4,4,3,2,3,4,4
182,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
183,1,15,13,18,28,46,4,4,4,4,4,4,3,4,4,3,3,4,4,4,2,4,4,3,4,4,3,4,4,4
184,1,10,10,19,22,39,4,2,2,4,3,4,4,4,3,2,3,3,4,4,2,3,3,4,4,3,2,2,3,3
185,1,11,13,18,23,42,3,4,2,4,3,3,3,3,3,3,1,3,4,4,3,3,3,4,4,4,3,3,3,2
186,1,14,13,20,20,47,3,2,4,4,4,4,4,2,4,2,3,3,4,4,3,2,3,4,4,4,3,3,4,3
