id,assess,starttime,finishtime
1,5,12-Dec-10,12-Dec-10
2,5,12-Dec-10,12-Dec-10
3,5,15-Dec-10,15-Dec-10
4,5,12-Dec-10,12-Dec-10
5,5,12-Dec-10,12-Dec-10
6,5,12-Dec-10,14-Dec-10
7,5,12-Dec-10,12-Dec-10
8,5,12-Dec-10,12-Dec-10
9,5,12-Dec-10,12-Dec-10
10,5,12-Dec-10,12-Dec-10
11,5,12-Dec-10,12-Dec-10
12,5,14-Dec-10,14-Dec-10
13,5,12-Dec-10,12-Dec-10
14,5,12-Dec-10,12-Dec-10
15,5,13-Dec-10,13-Dec-10
16,5,12-Dec-10,12-Dec-10
17,5,12-Dec-10,12-Dec-10
18,5,13-Dec-10,13-Dec-10
19,5,12-Dec-10,12-Dec-10
20,5,12-Dec-10,12-Dec-10
21,5,12-Dec-10,12-Dec-10
22,5,12-Dec-10,12-Dec-10
23,5,15-Dec-10,15-Dec-10
24,5,12-Dec-10,12-Dec-10
25,5,13-Dec-10,13-Dec-10
26,5,12-Dec-10,12-Dec-10
27,5,12-Dec-10,12-Dec-10
28,5,12-Dec-10,12-Dec-10
29,5,,
30,5,,
31,5,14-Dec-10,14-Dec-10
32,5,12-Dec-10,12-Dec-10
33,5,15-Dec-10,15-Dec-10
34,5,12-Dec-10,12-Dec-10
35,5,14-Dec-10,14-Dec-10
36,5,12-Dec-10,12-Dec-10
37,5,13-Dec-10,13-Dec-10
38,5,15-Dec-10,15-Dec-10
39,5,12-Dec-10,12-Dec-10
40,5,12-Dec-10,12-Dec-10
41,5,12-Dec-10,12-Dec-10
42,5,12-Dec-10,12-Dec-10
43,5,13-Dec-10,13-Dec-10
44,5,12-Dec-10,12-Dec-10
45,5,13-Dec-10,13-Dec-10
46,5,,
47,5,15-Dec-10,15-Dec-10
48,5,12-Dec-10,12-Dec-10
49,5,12-Dec-10,12-Dec-10
50,5,14-Dec-10,14-Dec-10
51,5,12-Dec-10,12-Dec-10
52,5,12-Dec-10,12-Dec-10
53,5,15-Dec-10,15-Dec-10
54,5,12-Dec-10,12-Dec-10
55,5,12-Dec-10,12-Dec-10
56,5,12-Dec-10,12-Dec-10
57,5,15-Dec-10,15-Dec-10
58,5,,
59,5,12-Dec-10,12-Dec-10
60,5,12-Dec-10,12-Dec-10
61,5,12-Dec-10,12-Dec-10
62,5,12-Dec-10,12-Dec-10
63,5,12-Dec-10,12-Dec-10
64,5,12-Dec-10,12-Dec-10
65,5,12-Dec-10,12-Dec-10
66,5,15-Dec-10,15-Dec-10
67,5,12-Dec-10,12-Dec-10
68,5,12-Dec-10,12-Dec-10
69,5,12-Dec-10,12-Dec-10
70,5,14-Dec-10,14-Dec-10
71,5,12-Dec-10,12-Dec-10
72,5,,
73,5,13-Dec-10,13-Dec-10
74,5,12-Dec-10,12-Dec-10
75,5,13-Dec-10,13-Dec-10
76,5,12-Dec-10,12-Dec-10
77,5,12-Dec-10,12-Dec-10
78,5,12-Dec-10,12-Dec-10
79,5,12-Dec-10,12-Dec-10
80,5,12-Dec-10,12-Dec-10
81,5,12-Dec-10,12-Dec-10
82,5,12-Dec-10,12-Dec-10
83,5,15-Dec-10,15-Dec-10
84,5,12-Dec-10,12-Dec-10
85,5,14-Dec-10,14-Dec-10
86,5,12-Dec-10,12-Dec-10
87,5,12-Dec-10,12-Dec-10
88,5,12-Dec-10,12-Dec-10
89,5,13-Dec-10,13-Dec-10
90,5,12-Dec-10,12-Dec-10
91,5,12-Dec-10,12-Dec-10
92,5,12-Dec-10,12-Dec-10
93,5,12-Dec-10,12-Dec-10
94,5,12-Dec-10,12-Dec-10
95,5,,
96,5,12-Dec-10,12-Dec-10
97,5,12-Dec-10,12-Dec-10
98,5,12-Dec-10,12-Dec-10
99,5,12-Dec-10,12-Dec-10
100,5,12-Dec-10,12-Dec-10
101,5,13-Dec-10,13-Dec-10
102,5,14-Dec-10,14-Dec-10
103,5,15-Dec-10,15-Dec-10
104,5,12-Dec-10,12-Dec-10
105,5,12-Dec-10,12-Dec-10
106,5,,
107,5,12-Dec-10,12-Dec-10
108,5,14-Dec-10,14-Dec-10
109,5,13-Dec-10,13-Dec-10
110,5,,
111,5,12-Dec-10,12-Dec-10
112,5,12-Dec-10,12-Dec-10
113,5,15-Dec-10,15-Dec-10
114,5,12-Dec-10,12-Dec-10
115,5,12-Dec-10,12-Dec-10
116,5,12-Dec-10,12-Dec-10
117,5,12-Dec-10,12-Dec-10
118,5,12-Dec-10,12-Dec-10
119,5,14-Dec-10,14-Dec-10
120,5,,
122,5,15-Dec-10,15-Dec-10
123,5,,
124,5,12-Dec-10,12-Dec-10
125,5,12-Dec-10,12-Dec-10
126,5,12-Dec-10,12-Dec-10
127,5,12-Dec-10,12-Dec-10
128,5,12-Dec-10,12-Dec-10
129,5,,
130,5,13-Dec-10,13-Dec-10
131,5,,
132,5,12-Dec-10,12-Dec-10
133,5,,
134,5,12-Dec-10,12-Dec-10
135,5,12-Dec-10,12-Dec-10
136,5,12-Dec-10,12-Dec-10
137,5,12-Dec-10,12-Dec-10
138,5,12-Dec-10,12-Dec-10
139,5,,
140,5,12-Dec-10,12-Dec-10
141,5,14-Dec-10,14-Dec-10
142,5,12-Dec-10,12-Dec-10
143,5,,
144,5,12-Dec-10,12-Dec-10
145,5,13-Dec-10,13-Dec-10
146,5,14-Dec-10,14-Dec-10
147,5,,
148,5,12-Dec-10,12-Dec-10
149,5,13-Dec-10,13-Dec-10
150,5,12-Dec-10,12-Dec-10
151,5,,
152,5,12-Dec-10,12-Dec-10
153,5,,
154,5,12-Dec-10,12-Dec-10
155,5,12-Dec-10,12-Dec-10
156,5,12-Dec-10,12-Dec-10
157,5,14-Dec-10,14-Dec-10
158,5,14-Dec-10,14-Dec-10
159,5,12-Dec-10,12-Dec-10
160,5,12-Dec-10,12-Dec-10
161,5,12-Dec-10,12-Dec-10
162,5,12-Dec-10,12-Dec-10
163,5,14-Dec-10,14-Dec-10
164,5,13-Dec-10,13-Dec-10
165,5,,
166,5,12-Dec-10,12-Dec-10
167,5,12-Dec-10,12-Dec-10
168,5,12-Dec-10,12-Dec-10
169,5,,
170,5,12-Dec-10,12-Dec-10
171,5,,
172,5,12-Dec-10,12-Dec-10
173,5,14-Dec-10,14-Dec-10
174,5,12-Dec-10,12-Dec-10
175,5,14-Dec-10,14-Dec-10
176,5,15-Dec-10,15-Dec-10
177,5,12-Dec-10,12-Dec-10
178,5,12-Dec-10,12-Dec-10
179,5,12-Dec-10,12-Dec-10
180,5,12-Dec-10,12-Dec-10
181,5,14-Dec-10,14-Dec-10
182,5,,
183,5,12-Dec-10,12-Dec-10
184,5,12-Dec-10,12-Dec-10
185,5,12-Dec-10,14-Dec-10
186,5,15-Dec-10,15-Dec-10
187,5,12-Dec-10,12-Dec-10
188,5,,
189,5,12-Dec-10,12-Dec-10
190,5,12-Dec-10,12-Dec-10
191,5,14-Dec-10,14-Dec-10
192,5,12-Dec-10,15-Dec-10
193,5,13-Dec-10,13-Dec-10
194,5,15-Dec-10,15-Dec-10
195,5,12-Dec-10,12-Dec-10
196,5,,
197,5,12-Dec-10,12-Dec-10
198,5,12-Dec-10,12-Dec-10
199,5,12-Dec-10,12-Dec-10
200,5,12-Dec-10,12-Dec-10
201,5,,
202,5,12-Dec-10,12-Dec-10
203,5,15-Dec-10,15-Dec-10
204,5,,
205,5,12-Dec-10,12-Dec-10
206,5,15-Dec-10,15-Dec-10
207,5,12-Dec-10,12-Dec-10
208,5,15-Dec-10,15-Dec-10
209,5,12-Dec-10,12-Dec-10
210,5,12-Dec-10,12-Dec-10
211,5,12-Dec-10,12-Dec-10
212,5,12-Dec-10,12-Dec-10
213,5,14-Dec-10,14-Dec-10
214,5,12-Dec-10,12-Dec-10
215,5,18-Dec-10,18-Dec-10
216,5,12-Dec-10,12-Dec-10
217,5,12-Dec-10,12-Dec-10
218,5,,
219,5,,
220,5,12-Dec-10,12-Dec-10
221,5,12-Dec-10,12-Dec-10
222,5,12-Dec-10,12-Dec-10
223,5,12-Dec-10,12-Dec-10
224,5,12-Dec-10,12-Dec-10
225,5,12-Dec-10,12-Dec-10
226,5,12-Dec-10,12-Dec-10
227,5,14-Dec-10,14-Dec-10
228,5,12-Dec-10,12-Dec-10
229,5,12-Dec-10,12-Dec-10
230,5,12-Dec-10,12-Dec-10
231,5,13-Dec-10,13-Dec-10
233,5,12-Dec-10,12-Dec-10
234,5,12-Dec-10,12-Dec-10
235,5,12-Dec-10,12-Dec-10
236,5,12-Dec-10,12-Dec-10
237,5,12-Dec-10,12-Dec-10
238,5,12-Dec-10,12-Dec-10
239,5,12-Dec-10,12-Dec-10
240,5,13-Dec-10,13-Dec-10
241,5,15-Dec-10,15-Dec-10
242,5,12-Dec-10,12-Dec-10
243,5,12-Dec-10,12-Dec-10
244,5,12-Dec-10,13-Dec-10
245,5,12-Dec-10,12-Dec-10
246,5,15-Dec-10,15-Dec-10
247,5,13-Dec-10,13-Dec-10
248,5,12-Dec-10,12-Dec-10
249,5,13-Dec-10,13-Dec-10
250,5,12-Dec-10,12-Dec-10
251,5,15-Dec-10,15-Dec-10
252,5,12-Dec-10,12-Dec-10
253,5,12-Dec-10,12-Dec-10
254,5,12-Dec-10,12-Dec-10
255,5,12-Dec-10,12-Dec-10
256,5,12-Dec-10,12-Dec-10
257,5,12-Dec-10,12-Dec-10
258,5,12-Dec-10,12-Dec-10
259,5,14-Dec-10,14-Dec-10
260,5,,
261,5,12-Dec-10,12-Dec-10
262,5,,
263,5,12-Dec-10,12-Dec-10
264,5,12-Dec-10,12-Dec-10
265,5,12-Dec-10,12-Dec-10
266,5,12-Dec-10,12-Dec-10
267,5,12-Dec-10,12-Dec-10
268,5,14-Dec-10,14-Dec-10
269,5,13-Dec-10,13-Dec-10
270,5,12-Dec-10,12-Dec-10
271,5,12-Dec-10,12-Dec-10
273,5,12-Dec-10,12-Dec-10
274,5,12-Dec-10,12-Dec-10
275,5,14-Dec-10,14-Dec-10
276,5,,
277,5,12-Dec-10,12-Dec-10
278,5,13-Dec-10,13-Dec-10
279,5,12-Dec-10,12-Dec-10
280,5,12-Dec-10,12-Dec-10
281,5,12-Dec-10,12-Dec-10
282,5,12-Dec-10,12-Dec-10
283,5,,
284,5,12-Dec-10,12-Dec-10
285,5,12-Dec-10,12-Dec-10
286,5,12-Dec-10,12-Dec-10
287,5,,
288,5,14-Dec-10,14-Dec-10
289,5,12-Dec-10,12-Dec-10
290,5,12-Dec-10,12-Dec-10
291,5,12-Dec-10,12-Dec-10
292,5,,
293,5,,
294,5,12-Dec-10,12-Dec-10
295,5,13-Dec-10,13-Dec-10
296,5,12-Dec-10,12-Dec-10
297,5,12-Dec-10,12-Dec-10
298,5,,
299,5,,
300,5,,
302,5,13-Dec-10,13-Dec-10
303,5,12-Dec-10,12-Dec-10
305,5,12-Dec-10,12-Dec-10
306,5,15-Dec-10,15-Dec-10
307,5,12-Dec-10,12-Dec-10
308,5,12-Dec-10,12-Dec-10
309,5,12-Dec-10,12-Dec-10
310,5,,
